Year,Citation,Link,Category,Sub Cat,Quote, ,Background Purpose,Background Purpose (sub cat),further research
2020,"Luck, P. (2020, April 15). Social recovery on Substrate. Parity Technologies. Retrieved November 24, 2022 from https://www.parity.io/blog/social-recovery-on-substrate/",https://www.parity.io/blog/social-recovery-on-substrate/,Social Recovery Pallet,,"Current state steps to set up:                                                                                                                                                                                                                                           Step 1: Set up a recovery configuration
User selects up to N friends that they trust
User picks a threshold M
User selects a minimum delay period for the recovery process
User places a refundable configuration deposit, making sure that previous data/accounts are cleaned up
Step 2: Lose access to your account
We don’t recommend performing this step, but just in case you do lose access, continue to step 3
Step 3: Initiate recovery process
User creates a new account
User funds this new account with enough funds to pay the recovery deposit and pay for transaction fees
User calls the Recovery pallet by declaring the account that is lost, and the new account with the deposit
User contacts friends to vouch for your recovery attempt
At least M of N friends need to approve
Wait for the delay period to pass
Once these steps are completed, you are now able to make calls with your lost account.
The recovery pallet gives you access to all other pallets. This is so that each pallet that’s configured on the blockchain runtime you’re using does not need further configuration if the Recovery pallet is implemented on-chain.
Step 4: Clean up your old account
Close the recovery process, which refunds the deposit
Remove recovery configuration, which refunds the other deposit
Call other pallets through the Recovery pallets, such as unbonding, removing Identity information
Finally, transfer all your funds from the lost account to your new account
",,,,
2020,"Luck, P. (2020, April 15). Social recovery on Substrate. Parity Technologies. Retrieved November 24, 2022 from https://www.parity.io/blog/social-recovery-on-substrate/",https://www.parity.io/blog/social-recovery-on-substrate/,Social Recovery Pallet,,"Substrate is the blockchain framework for creating any kind of blockchain, and as more blockchains are built and deployed, it’s necessary that key management can be improved without resorting to centralized custodians who may not be trustworthy or competent. ",,,,
2020,"Luck, P. (2020, April 15). Social recovery on Substrate. Parity Technologies. Retrieved November 24, 2022 from https://www.parity.io/blog/social-recovery-on-substrate/",https://www.parity.io/blog/social-recovery-on-substrate/,Social Recovery Pallet,,"The Substrate Recovery pallet is an M-of-N social recovery tool, based on a multisignature wallet. It allows users to recover their accounts if their private key or other authentication mechanism has been lost. Substrate is generalized to the point where we do not even assume that the blockchain you’re building is using public-private keypairs, enabling the Recovery Pallet to be used for authentication mechanisms of your choice. You can specify the set of users allowed to give you access to your account again.",,,,
2020,"Luck, P. (2020, April 15). Social recovery on Substrate. Parity Technologies. Retrieved November 24, 2022 from https://www.parity.io/blog/social-recovery-on-substrate/",https://www.parity.io/blog/social-recovery-on-substrate/,Social Recovery Pallet,,"Preventing malicious attacks: It’s possible that a malicious user may attempt to “recover” your account, even though it’s not lost. There are a few safeguards we put in place to prevent malicious account recovery attempts.
First, the minimum threshold of friends needs to approve the recovery initiation. Security experts often say that the largest attack vector is social engineering attacks, and this case is no different. A malicious user may compromise another social media account or create a similar looking account to trick your friends into believing this is you. Hopefully, your friends will notice the attempt and block it. But what happens if this part of the attack is successful?
If enough friends approve the recovery process initiation, the attacker still must wait the delay period to gain access to your funds. However, if you check your account just once during this delay period, you can cancel the recovery process and get the deposit the attacker made. So in a sense, it’s a honeypot for malicious users if you catch them in time.
After you notice a malicious recovery attempt, it is recommended you change the set of friends and remove those who were easily tricked.
",,,,
2020,"Luck, P. (2020, April 15). Social recovery on Substrate. Parity Technologies. Retrieved November 24, 2022 from https://www.parity.io/blog/social-recovery-on-substrate/",https://www.parity.io/blog/social-recovery-on-substrate/,Social Recovery Pallet,,"Current state security considerations: For high security, you should choose your Recovery pallet settings carefully.
Set a long delay period
The longer the delay period is, the less often you must check your account, and the more likely it is you will catch a malicious recovery attempt. For accounts with most of your holdings, it is recommended to have very long delay periods of 6 months to 1 year, just in case.
Set a high threshold count
If possible, you should set a high threshold count in order to initiate the recovery process. A threshold of 2-out-of-3 is probably too low for accounts you value highly. Something more like 7-out-of-10 may be more wise.
Pick your friends wisely, and update them regularly
Make sure that the group of friends you choose are well spread out among your social circle. It is not recommended to choose friends only from the same company you work with, or any group that could easily collude to initiate the recovery process. Also, as you progress through life, friends may change, so we recommend you also update your friends list on-chain as regularly as possible.
",,,,
2020,"
Haynes, A., & Yeoh, P. (2020). Cryptocurrencies and Cryptoassets: Regulatory and Legal Issues. Taylor & Francis.
",https://books.google.com/books?hl=en&lr=&id=gS_gDwAAQBAJ&oi=fnd&pg=PT7&dq=%22matthew+mellon%22+%22ripple%22&ots=tyg8dxMknE&sig=yoTKC_W-Ho46LAELMn-D_C-Hpvk#v=onepage&q=%22matthew%20mellon%22%20%22ripple%22&f=false,Digital inheritance,,"Banking heir Matthew Mellon saw his US$2 million investment in Ripple (XRP) blossom into
approximately US$1 billion at the peak, before tragically dying and leaving US$200 million ", ,,,
2022,"Prost, F. (2022). On the Heritage of Crypto Assets--Tales From the Crypt Protocol. arXiv preprint arXiv:2209.11194.",https://arxiv.org/pdf/2209.11194.pdf,Deadman’s switch,Deadman’s key,"But it raises a new problem: how will the blockchain be aware of the death of the owner of the smart contract? This is a variant on the famous oracle problem [4]. Moreover, the heirs may not be of age to understand the technology, nor to have the legal rights to access such kind of funds. Some of the heirs may also not have wallets in the first place. If so the mechanisms by which the proper credentials could be transmitted to them, without being compromised, remain mysterious.",,,,
2022,"Prost, F. (2022). On the Heritage of Crypto Assets--Tales From the Crypt Protocol. arXiv preprint arXiv:2209.11194.",https://arxiv.org/pdf/2209.11194.pdf,Deadman’s switch,Deadman’s key,"Sarcophagus [2] is a dead man switch implementation that is blockchainenabled. It is resistant to censorship and immutable. It is done by the combination of Arweave [8] for a permanent storage of data, and Ethereum to support the ERC20 Sarco Token. This token is used to pay so called archeologists which are in charge of releasing the data (essentially an encrypted file) to the person of interest. The user have to select one or more existing archeologists. The archeologist public key is used as an outer layer of encryption. This outer layer has to be rewrapped at predefined dates in the future. If one date expires then the archeologist decrypts the outer layer. The inner layer is the data encrypted with the public key of the final receiver that can decrypt it. • Ternoa [3] is a french start-up that proposes a ”death protocol” which is basically a smart contract triggered by the API’s of local authorities registering deaths. It presents the problem of being a centralised solution. One issue is that it is easier to hack the local authorities database (or to bribe agents working for this agency) than to break a distributed solution relying on crypto technologies. Another issue is that there is no standard API to deal with this issue that is shared amongst countries. Each solution is limited to one nation-state at best. Finally there is no warantee that the API are not going to change in the future. • Casa [?] is a company that proposes solutions based on mutli-signature schemes. Their primary service is to provide better resiliency for crypto wallets. They also have an inheritance product that is basically a technological implementation of the second bullet point examined in section 2.1.",,,,
2022,"Prost, F. (2022). On the Heritage of Crypto Assets--Tales From the Crypt Protocol. arXiv preprint arXiv:2209.11194.",https://arxiv.org/pdf/2209.11194.pdf,Deadman’s switch,Deadman’s key,"It is relatively easy to hack hospitals or morgues IT systems. There are many entry points, and many levels at which the system can be compromised. To have a truly decentralized mechanism to acknowledge the death makes the system more resilient to fraud. The aim is to build a consensus mechanism for this specific event akin the distributed consensus on a public ledger.",,,,
2022,"Prost, F. (2022). On the Heritage of Crypto Assets--Tales From the Crypt Protocol. arXiv preprint arXiv:2209.11194.",https://arxiv.org/pdf/2209.11194.pdf,Deadman’s switch,Deadman’s key,"Registrars and Witnesses. This is a fundamental mechanism to provide privacy properties. The TFCP also relies on adversarial incentives (rewards and penalties) to prevent bad actors from interfering with the desired behavior of the protocol. Heritage details are not considered in TFCP. The sole purpose of the TFCP is to provide a signal that is equivalent to the recognition of the death of the Donor by the network. We say that the Acknowledgment has been enacted by the network. When necessary, the distinction between the physical person, the private keys and an the associated wallet is explicitly stated. • The Donor is the account of the physical person for which the network has to enact the death Acknowledgment. • The Security Deposit is the account used to signal the death of the Donor. The Donor has the key of this account. • The Witnesses is the set of accounts that testify on the death of the Donor. • The Registrars is the set of accounts that provide public keys and are operative to share secrets. Let’s follow by the definition of values and terms that play a special role in TFCP. • The Threshold is the amount of coins that has to be stacked on the Security Deposit account by the Witnesses to signal the death of the Donor. • The Wills is a document that contains the link between the Donor, the Announcement and the Security Deposit. Those links are not public, they are encrypted using a shared key between Registrars. It is signed by the Security Deposit. • The pre-Wills is very similar to the Wills document. Both can be considered equivalent at this level of abstraction. pre-Wills are published to recruit Registrars. Once the recruitment, and some checks, are done pre-Wills are transformed into Wills (mainly by stripping away technical informations), and published. Both the pre-Wills and the Wills are signed by the Security Deposit. • The Announcement is a public document that contains the social security name of the Donor, the Fees to be distributed to the Witnesses, the Threshold, the Deliberation Time and the address of the Security Deposit account. • The Ante is the amount of coins that a Witness has transferred to the Security Deposit to signal the death of a Donor. • The Shares are the share of a secret share scheme that is used by the Donor to multi-encrypt the Wills.When necessary, the distinction between the physical person, the private keys and an the associated wallet is explicitly stated. • The Donor is the account of the physical person for which the network has to enact the death Acknowledgment. • The Security Deposit is the account used to signal the death of the Donor. The Donor has the key of this account. • The Witnesses is the set of accounts that testify on the death of the Donor. • The Registrars is the set of accounts that provide public keys and are operative to share secrets. Let’s follow by the definition of values and terms that play a special role in TFCP. • The Threshold is the amount of coins that has to be stacked on the Security Deposit account by the Witnesses to signal the death of the Donor. • The Wills is a document that contains the link between the Donor, the Announcement and the Security Deposit. Those links are not public, they are encrypted using a shared key between Registrars. It is signed by the Security Deposit. • The pre-Wills is very similar to the Wills document. Both can be considered equivalent at this level of abstraction. pre-Wills are published to recruit Registrars. Once the recruitment, and some checks, are done pre-Wills are transformed into Wills (mainly by stripping away technical informations), and published. Both the pre-Wills and the Wills are signed by the Security Deposit. • The Announcement is a public document that contains the social security name of the Donor, the Fees to be distributed to the Witnesses, the Threshold, the Deliberation Time and the address of the Security Deposit account. • The Ante is the amount of coins that a Witness has transferred to the Security Deposit to signal the death of a Donor. • The Shares are the share of a secret share scheme that is used by the Donor to multi-encrypt the Wills. p. ",,,,
